serial_number,uid,type_slug,status_slug,condition_slug,model,condition,created_at,updated_at
NA,1,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,2,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,3,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,4,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,5,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,6,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,7,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,8,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,9,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,10,BIKE24,AVAILABLE,GOOD,Stels,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,11,BIKE24,AVAILABLE,GOOD,Kellys детский,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,15,SCOOTER,AVAILABLE,BROKEN,KUGOO C2PRO,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,16,SCOOTER,AVAILABLE,GOOD,—кутер 1,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,17,SCOOTER,AVAILABLE,GOOD,—кутер 2,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,18,SCOOTER,AVAILABLE,GOOD,Iking,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,19,SCOOTER,AVAILABLE,GOOD,—кутер 3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,20,BIKE26,AVAILABLE,GOOD,Stels 710,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,21,BIKE26,AVAILABLE,GOOD,Kelly's viper,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,26,BIKE26,AVAILABLE,GOOD,Merida Drakar 26,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,28,BIKE26,AVAILABLE,GOOD,Merida Drakar 26,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,29,BIKE26,AVAILABLE,GOOD,Stels 550,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,30,BIKE27,AVAILABLE,GOOD,Giant tempt,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,31,BIKE27,AVAILABLE,GOOD,Romet 27.5 красный,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,33,BIKE27,AVAILABLE,GOOD,"romet рама 19""",,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,37,BIKE27,AVAILABLE,GOOD,"romet рама 17""",,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,38,BIKE27,AVAILABLE,GOOD,"romet рама 17""",,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,40,BIKE29,AVAILABLE,GOOD,Cube aim pro,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,42,BIKE29,AVAILABLE,GOOD,Merida Drakar Big 29,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,44,BIKE29,AVAILABLE,GOOD,Arktus Beryl,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,45,BIKE29,AVAILABLE,GOOD,romet,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,46,BIKE29,AVAILABLE,GOOD,Unibike mission,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,47,BIKE29,AVAILABLE,GOOD,Merida Drakar Big 29,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,49,BIKE29,AVAILABLE,GOOD,Cube aim pro,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,50,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,51,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,52,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,53,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,54,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,55,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,56,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,57,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,58,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,59,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,60,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,61,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,62,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,63,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
